,Number,variable,value
0,1,Empirical Percentage,33.33333333333333
1,2,Empirical Percentage,0.0
2,3,Empirical Percentage,8.333333333333332
3,4,Empirical Percentage,8.333333333333332
4,5,Empirical Percentage,25.0
5,6,Empirical Percentage,16.666666666666664
6,7,Empirical Percentage,0.0
7,8,Empirical Percentage,8.333333333333332
8,9,Empirical Percentage,0.0
9,1,Benford Percentage,30.1
10,2,Benford Percentage,17.6
11,3,Benford Percentage,12.5
12,4,Benford Percentage,9.7
13,5,Benford Percentage,7.9
14,6,Benford Percentage,6.7
15,7,Benford Percentage,5.8
16,8,Benford Percentage,5.1
17,9,Benford Percentage,4.6
